Date,AAPL,BA,CVX,JNJ,MCD,MMM,MRK,NIKE,PFE
17.07.1980,0.095495,2.289874,2.228830,0.636507,0.582689,2.011886,0.584335,0.129549,0.232891
18.07.1980,0.095495,2.304367,2.243027,0.636507,0.575257,2.020634,0.588205,0.129549,0.235749
21.07.1980,0.095495,2.362338,2.257224,0.639514,0.561879,1.985643,0.603684,0.129549,0.238607
22.07.1980,0.095495,2.304367,2.243027,0.643524,0.564852,1.994391,0.590139,0.129549,0.232891
23.07.1980,0.095495,2.260889,2.257224,0.647534,0.570798,1.976895,0.591107,0.129549,0.232891
24.07.1980,0.095495,2.253642,2.267870,0.641519,0.552288,1.950654,0.587237,0.129549,0.230748
25.07.1980,0.095495,2.224656,2.232379,0.636507,0.540347,1.915663,0.582400,0.129549,0.227891
28.07.1980,0.095495,2.239150,2.250124,0.642521,0.543332,1.950654,0.589172,0.129549,0.230748
29.07.1980,0.095495,2.260889,2.253675,0.645529,0.571693,1.994391,0.594009,0.129549,0.232891
30.07.1980,0.095495,2.224656,2.150751,0.651543,0.571693,2.064369,0.594009,0.129549,0.238607
31.07.1980,0.095495,2.217411,2.115260,0.649538,0.558259,2.055621,0.597879,0.129549,0.244322
01.08.1980,0.095495,2.195670,2.086866,0.648536,0.546318,2.025007,0.597879,0.129549,0.247179
04.08.1980,0.095495,2.246396,2.037179,0.649538,0.546318,2.038127,0.603684,0.129549,0.249322
05.08.1980,0.095495,2.144945,2.026532,0.652545,0.546318,2.046874,0.599814,0.129549,0.247179
06.08.1980,0.095495,2.166685,2.083318,0.667580,0.546318,2.055621,0.594009,0.129549,0.247179
07.08.1980,0.095495,2.159439,2.143652,0.676602,0.567216,2.094985,0.599814,0.129549,0.244322
08.08.1980,0.095495,2.198887,2.129454,0.684621,0.585127,2.077490,0.605618,0.129549,0.244322
11.08.1980,0.095495,2.242717,2.143652,0.680612,0.610503,2.064369,0.609489,0.129549,0.247179
12.08.1980,0.095495,2.198887,2.108162,0.673595,0.609010,2.038127,0.603684,0.129549,0.238607
13.08.1980,0.095495,2.184276,2.090417,0.669585,0.597069,2.020634,0.603684,0.129549,0.235749
14.08.1980,0.095495,2.191581,2.129454,0.665576,0.616473,2.059996,0.608521,0.129549,0.238607
15.08.1980,0.095495,2.169664,2.164946,0.663571,0.600054,2.099358,0.616260,0.129549,0.238607
18.08.1980,0.095495,2.206192,2.143652,0.648027,0.589605,2.084313,0.605618,0.129549,0.232891
19.08.1980,0.095495,2.198887,2.129454,0.640961,0.571693,2.066612,0.597879,0.129549,0.232891
20.08.1980,0.095495,2.293854,2.136555,0.649036,0.576171,2.084313,0.603684,0.129549,0.232891
21.08.1980,0.095495,2.286549,2.157849,0.654083,0.582142,2.093162,0.617228,0.129549,0.244322
22.08.1980,0.095495,2.286549,2.133005,0.661149,0.591098,2.102014,0.614326,0.129549,0.244322
25.08.1980,0.095495,2.279244,2.154300,0.662158,0.594083,2.088739,0.609489,0.129549,0.241464
